Date,Debit
26-Apr-2022,0.05
26-Apr-2022,1
26-Apr-2022,5000
26-Apr-2022,1.5
26-Apr-2022,30
26-Apr-2022,332672.16
26-Apr-2022,1.5
26-Apr-2022,30
26-Apr-2022,87485.27
27-Apr-2022,7000
27-Apr-2022,14250
27-Apr-2022,9549
27-Apr-2022,1.5
27-Apr-2022,30
27-Apr-2022,24000
27-Apr-2022,1.5
27-Apr-2022,30
27-Apr-2022,30000
27-Apr-2022,1.5
27-Apr-2022,30
27-Apr-2022,28000
27-Apr-2022,1.5
27-Apr-2022,30
27-Apr-2022,117566.69
27-Apr-2022,7.5
27-Apr-2022,150
27-Apr-2022,77595
28-Apr-2022,0.05
28-Apr-2022,1
28-Apr-2022,10
28-Apr-2022,200
29-Apr-2022,1.5
29-Apr-2022,30
29-Apr-2022,662405.52
06-May-2022,4.75
06-May-2022,95
06-May-2022,9062
06-May-2022,9000
06-May-2022,1.5
06-May-2022,30
06-May-2022,117566.69
07-May-2022,0.05
07-May-2022,1
07-May-2022,1.5
07-May-2022,30
07-May-2022,251267.4
10-May-2022,24725
11-May-2022,60000
11-May-2022,65229
11-May-2022,4.05
11-May-2022,81
11-May-2022,30
11-May-2022,1.5
11-May-2022,251267.4
11-May-2022,1470.63
12-May-2022,7.5
12-May-2022,150
12-May-2022,1.5
12-May-2022,30
12-May-2022,753140.97
17-May-2022,3.75
17-May-2022,75
17-May-2022,9918.45
17-May-2022,1.5
17-May-2022,30
17-May-2022,18000
17-May-2022,1.5
17-May-2022,30
17-May-2022,1439
17-May-2022,5
17-May-2022,26.11
17-May-2022,100
17-May-2022,522.24
17-May-2022,1321
17-May-2022,11542
17-May-2022,1.5
17-May-2022,30
17-May-2022,362199.75
18-May-2022,11221
18-May-2022,22959
18-May-2022,30976
18-May-2022,6787
18-May-2022,1500
18-May-2022,3150
18-May-2022,1450
18-May-2022,8175
18-May-2022,7166
18-May-2022,1.5
18-May-2022,30
18-May-2022,553769.1
19-May-2022,31682.5
19-May-2022,2952
19-May-2022,7833
19-May-2022,5
19-May-2022,26.11
19-May-2022,100
19-May-2022,522.24
19-May-2022,1.5
19-May-2022,30
19-May-2022,7000
19-May-2022,5000
20-May-2022,1.5
20-May-2022,30
20-May-2022,20000
